Date,County,Rt_EpiNow
10/13/2021,Abbeville,0.835094938
10/14/2021,Abbeville,0.83144475
10/15/2021,Abbeville,0.826987117
10/16/2021,Abbeville,0.825419028
10/17/2021,Abbeville,0.824712856
10/18/2021,Abbeville,0.827188524
10/19/2021,Abbeville,0.834774889
10/20/2021,Abbeville,0.847125691
10/21/2021,Abbeville,0.864597176
10/22/2021,Abbeville,0.885450867
10/23/2021,Abbeville,0.909186671
10/24/2021,Abbeville,0.93366927
10/25/2021,Abbeville,0.955851928
10/26/2021,Abbeville,0.977462228
10/27/2021,Abbeville,0.994179166
10/28/2021,Abbeville,1.004216147
10/29/2021,Abbeville,1.006593975
10/30/2021,Abbeville,1.000630746
10/31/2021,Abbeville,0.986313928
11/1/2021,Abbeville,0.961510879
11/2/2021,Abbeville,0.926525667
11/3/2021,Abbeville,0.884637186
11/4/2021,Abbeville,0.835971494
11/5/2021,Abbeville,0.7807301
11/6/2021,Abbeville,0.721487653
11/7/2021,Abbeville,0.658915661
11/8/2021,Abbeville,0.595835053
11/9/2021,Abbeville,0.538662056
11/10/2021,Abbeville,0.488063495
11/11/2021,Abbeville,0.444744597
11/12/2021,Abbeville,0.407454908
11/13/2021,Abbeville,0.376912728
11/14/2021,Abbeville,0.353786952
11/15/2021,Abbeville,0.336528046
11/16/2021,Abbeville,0.323795175
11/17/2021,Abbeville,0.316576513
11/18/2021,Abbeville,0.313907086
11/19/2021,Abbeville,0.314267008
11/20/2021,Abbeville,0.318390062
11/21/2021,Abbeville,0.325861013
11/22/2021,Abbeville,0.335775718
11/23/2021,Abbeville,0.348903746
11/24/2021,Abbeville,0.362987615
11/25/2021,Abbeville,0.379950779
11/26/2021,Abbeville,0.39740179
11/27/2021,Abbeville,0.417482109
11/28/2021,Abbeville,0.440209284
11/29/2021,Abbeville,0.466826557
11/30/2021,Abbeville,0.496398335
12/1/2021,Abbeville,0.528606445
12/2/2021,Abbeville,0.565598643
12/3/2021,Abbeville,0.61053824
12/4/2021,Abbeville,0.663105052
12/5/2021,Abbeville,0.724286409
12/6/2021,Abbeville,0.797224604
12/7/2021,Abbeville,0.881832598
12/8/2021,Abbeville,0.972247944
12/9/2021,Abbeville,1.067978389
12/10/2021,Abbeville,1.171177629
12/11/2021,Abbeville,1.28307348
12/12/2021,Abbeville,1.406265047
12/13/2021,Abbeville,1.542442226
12/14/2021,Abbeville,1.693741247
12/15/2021,Abbeville,1.861957564
12/16/2021,Abbeville,2.059797604
12/17/2021,Abbeville,2.289090367
12/18/2021,Abbeville,2.562985245
12/19/2021,Abbeville,2.888519102
12/20/2021,Abbeville,3.276293096
12/21/2021,Abbeville,3.717830793
12/22/2021,Abbeville,4.183251317
12/23/2021,Abbeville,4.630543096
12/24/2021,Abbeville,5.011335127
12/25/2021,Abbeville,5.287071887
12/26/2021,Abbeville,5.387890911
12/27/2021,Abbeville,5.313349062
12/28/2021,Abbeville,5.078039637
12/29/2021,Abbeville,4.700099171
12/30/2021,Abbeville,4.224190382
12/31/2021,Abbeville,3.703138877
1/1/2022,Abbeville,3.186894703
1/2/2022,Abbeville,2.719470681
1/3/2022,Abbeville,2.316872583
1/4/2022,Abbeville,1.980457521
1/5/2022,Abbeville,1.708236118
1/6/2022,Abbeville,1.494451686
1/7/2022,Abbeville,1.329855432
1/8/2022,Abbeville,1.206638259
1/9/2022,Abbeville,1.116204985
1/10/2022,Abbeville,1.053473387
1/11/2022,Abbeville,1.011876522
1/12/2022,Abbeville,0.988773257
1/13/2022,Abbeville,0.978139894
1/14/2022,Abbeville,0.9779289
1/15/2022,Abbeville,0.982652266
1/16/2022,Abbeville,0.989692015
1/17/2022,Abbeville,0.998396456
1/18/2022,Abbeville,1.006339003
1/19/2022,Abbeville,1.0109923
1/20/2022,Abbeville,1.010334402
1/21/2022,Abbeville,1.003790952
1/22/2022,Abbeville,0.988604259
1/23/2022,Abbeville,0.965674818
1/24/2022,Abbeville,0.93542317
1/25/2022,Abbeville,0.898487152
1/26/2022,Abbeville,0.856924051
1/27/2022,Abbeville,0.81433456
1/28/2022,Abbeville,0.772095121
1/29/2022,Abbeville,0.732039197
1/30/2022,Abbeville,0.696916912
1/31/2022,Abbeville,0.667984214
2/1/2022,Abbeville,0.646783961
2/2/2022,Abbeville,0.63422112
2/3/2022,Abbeville,0.628904501
2/4/2022,Abbeville,0.631493934
2/5/2022,Abbeville,0.640888968
2/6/2022,Abbeville,0.657058514
2/7/2022,Abbeville,0.679896228
2/8/2022,Abbeville,0.706879187
2/9/2022,Abbeville,0.735417389
2/10/2022,Abbeville,0.762817375
2/11/2022,Abbeville,0.786401978
2/12/2022,Abbeville,0.801868426
2/13/2022,Abbeville,0.808628665
2/14/2022,Abbeville,0.807279367
2/15/2022,Abbeville,0.798060445
2/16/2022,Abbeville,0.782796202
2/17/2022,Abbeville,0.760158128
2/18/2022,Abbeville,0.73327091
2/19/2022,Abbeville,0.704945652
2/20/2022,Abbeville,0.677862322
2/21/2022,Abbeville,0.654419963
2/22/2022,Abbeville,0.634521883
2/23/2022,Abbeville,0.619844724
2/24/2022,Abbeville,0.612113033
2/25/2022,Abbeville,0.609425254
2/26/2022,Abbeville,0.61127831
2/27/2022,Abbeville,0.615237335
2/28/2022,Abbeville,0.622886387
3/1/2022,Abbeville,0.631235105
3/2/2022,Abbeville,0.64028152
3/3/2022,Abbeville,0.64992898
3/4/2022,Abbeville,0.659954351
3/5/2022,Abbeville,0.66992648
3/6/2022,Abbeville,0.680958805
3/7/2022,Abbeville,0.693467918
3/8/2022,Abbeville,0.709515258
3/9/2022,Abbeville,0.727570229
3/10/2022,Abbeville,0.749336482
3/11/2022,Abbeville,0.773248149
3/12/2022,Abbeville,0.801898864
3/13/2022,Abbeville,0.834554828
3/14/2022,Abbeville,0.871379274
3/15/2022,Abbeville,0.908947108
3/16/2022,Abbeville,0.947276115
3/17/2022,Abbeville,0.983895018
3/18/2022,Abbeville,1.016084674
3/19/2022,Abbeville,1.044895914
3/20/2022,Abbeville,1.068134982
3/21/2022,Abbeville,1.0852441
3/22/2022,Abbeville,1.094815269
3/23/2022,Abbeville,1.09495169
3/24/2022,Abbeville,1.085192808
3/25/2022,Abbeville,1.068683497
3/26/2022,Abbeville,1.047854855
3/27/2022,Abbeville,1.027429139
3/28/2022,Abbeville,1.003444543
3/29/2022,Abbeville,0.981424155
3/30/2022,Abbeville,0.962477554
3/31/2022,Abbeville,0.946885957
4/1/2022,Abbeville,0.935568684
4/2/2022,Abbeville,0.929654751
4/3/2022,Abbeville,0.927800295
4/4/2022,Abbeville,0.930781126
4/5/2022,Abbeville,0.939560211
4/6/2022,Abbeville,0.949596376
4/7/2022,Abbeville,0.962146567
4/8/2022,Abbeville,0.975481869
4/9/2022,Abbeville,0.9903558
4/10/2022,Abbeville,1.005096975
4/11/2022,Abbeville,1.021126925
4/12/2022,Abbeville,1.036561614
4/13/2022,Abbeville,1.05594751
4/14/2022,Abbeville,1.080303867
4/15/2022,Abbeville,1.108229413
4/16/2022,Abbeville,1.139249408
4/17/2022,Abbeville,1.173151878
4/18/2022,Abbeville,1.20943249
4/19/2022,Abbeville,1.247703791
4/20/2022,Abbeville,1.289098859
4/21/2022,Abbeville,1.331131024
4/22/2022,Abbeville,1.359849412
4/23/2022,Abbeville,1.385123746
4/24/2022,Abbeville,1.400032691
4/25/2022,Abbeville,1.400705965
4/26/2022,Abbeville,1.388239689
4/27/2022,Abbeville,1.364497575
4/28/2022,Abbeville,1.337064536
4/29/2022,Abbeville,1.304335461
4/30/2022,Abbeville,1.271559849
5/1/2022,Abbeville,1.245124119
5/2/2022,Abbeville,1.225466079
5/3/2022,Abbeville,1.208067617
